source_id,target_id,relationship
ServiceProvider-L-3TK20IVIUJ8J3ZU0QE75,ING BANK NV - SPRINTERS AND EQUITY as service provider,rdf-schema#label
ServiceProvider-MACEDONIANSTOCKEXCHANGE,LegalEntity-MACEDONIANSTOCKEXCHANGE,isPlayedBy
Facility-PIRM,www.pirum.com,hasWebsite
ServiceProvider-L-391200Z7ZWISADXEGZ47,BOERSE MUENCHEN as service provider,rdf-schema#label
ServiceProvider-NAGOYASENITORIHIKIJOTEXTILEEXCHANGE-CHUBUCOMMODITYEXCHANGE,LegalEntity-NAGOYASENITORIHIKIJOTEXTILEEXCHANGE-CHUBUCOMMODITYEXCHANGE,isPlayedBy
ServiceProvider-BANKOFAMERICA-MERRILLLYNCHINSTINCTXATS,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-CATS,Germany,operatesInCountry
MIC-HKME,ExpiredMICStatus,hasMarketIdentifierCodeStatus
ServiceProvider-INDONESIACOMMODITYANDDERIVATIVESEXCHANGE,INDONESIA COMMODITY AND DERIVATIVES EXCHANGE as service provider,rdf-schema#label
MIC-XSTX,MarketSegmentLevelMarketIdentifier,22-rdf-syntax-ns#type
Facility-SPEX,SPECTRUM MARKETS,hasFormalName
MIC-CHIA,Facility-CHIA,identifies
Facility-HANB,MultilateralTradingFacility,22-rdf-syntax-ns#type
Facility-MUBL,SYSTEMATIC INTERNALISER.,core#note
MIC-VCMO,MICCodeScheme,isMemberOf
Facility-IBEX,ServiceProvider-L-485100BT642E2LWQU020,isManagedBy
MIC-XGSX,Facility-XGSX,identifies
MIC-FNUK,OperatingLevelMarketIdentifier,22-rdf-syntax-ns#type
Facility-BHSF,OperatingLevelMarket,22-rdf-syntax-ns#type
MIC-HWHE,OperatingLevelMarketIdentifier,22-rdf-syntax-ns#type
ServiceProvider-L-254900IU6VEB33AMKU93,L-254900IU6VEB33AMKU93,isPlayedBy
Facility-NSSA,Krakow,operatesInMunicipality
Facility-SMBG,SUMITOMO MITSUI BANKING CORPORATION - LONDON BRANCH,rdf-schema#label
MIC-INGB,MICCodeScheme,isMemberOf
LegalEntity-FINEXNEWYORKANDDUBLIN,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-BILT,OperatingLevelMarketIdentifier,22-rdf-syntax-ns#type
MIC-XPOM,XPOM,hasTag
MIC-WFLP,MICCodeScheme,isMemberOf
Facility-XMIF,ServiceProvider-MERCATOITALIANODEIFUTURES,isManagedBy
Facility-INGB,ING BANK NV,rdf-schema#label
Facility-XKBT,KANSAS CITY BOARD OF TRADE,rdf-schema#label
MIC-FRAB,FRAB,hasTag
MIC-IBGH,OperatingLevelMarketIdentifier,22-rdf-syntax-ns#type
Facility-XDHA,OperatingLevelMarket,22-rdf-syntax-ns#type
MIC-BDEA,BAYERNLB - IDEAL FX market segment-level market identifier,rdf-schema#label
Facility-IIDX,www.instinet.com,hasWebsite
Facility-GSLO,www.gallardosecurities.com,hasWebsite
Facility-EGSI,Vienna,operatesInMunicipality
MIC-IEXC,INVESTORS EXCHANGE - DAX FACILITY market segment-level market identifier,rdf-schema#label
MIC-IFLL,owl#NamedIndividual,22-rdf-syntax-ns#type
MIC-XSWM,Facility-XSWM,identifies
MIC-FNFX,Facility-FNFX,identifies
MIC-JPEU,JPEU,hasTag
ServiceProvider-L-2138008P9NOMBRMROI73,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-MTSP,MTS POLAND,rdf-schema#label
Facility-XATX,Toronto,operatesInMunicipality
MIC-WBDM,WIENER BOERSE AG VIENNA MTF (VIENNA MTF) market segment-level market identifier,rdf-schema#label
ServiceProvider-L-529900I8ESNMLCIQ1U62,TRADEGATE EXCHANGE GMBH as service provider,rdf-schema#label
MIC-XQTX,XQTX,hasTag
Facility-IOFI,Facility-IOTF,isPartOf
MIC-XMOD,owl#NamedIndividual,22-rdf-syntax-ns#type
Facility-RFIM,UnitedArabEmirates,operatesInCountry
MIC-ROTC,Facility-ROTC,identifies
MIC-EDRF,EDRF,hasTag
ServiceProvider-SIXX-CLEARAG,SIX X-CLEAR AG as service provider,rdf-schema#label
Facility-PIEU,London,operatesInMunicipality
Facility-OPTX,ServiceProvider-L-984500254D10D9E58C78,isManagedBy
Facility-CIMV,Spain,operatesInCountry
Facility-XSFA,ServiceProvider-JSECOMMODITYDERIVATIVESMARKET,isManagedBy
MIC-XBVM,MOZAMBIQUE STOCK EXCHANGE operating-level market identifier,rdf-schema#label
Facility-XALB,Canada,operatesInCountry
Facility-XMID,ServiceProvider-MIDWESTSTOCKEXCHANGE,isManagedBy
ServiceProvider-CODAMARKETSATSDARK,CODA MARKETS ATS DARK as service provider,rdf-schema#label
MIC-BLEV,OperatingLevelMarketIdentifier,22-rdf-syntax-ns#type
LegalEntity-E-OTC,E-OTC,rdf-schema#label
Facility-AMXO,NYSE,hasFacilityAcronym
Facility-XCDE,www.baxter-fx.com,hasWebsite
