source_id,target_id,relationship
hasIndividualPostcode,has individual postcode,rdf-schema#label
AddressingScheme,owl#Class,22-rdf-syntax-ns#type
Slip,owl#NamedIndividual,22-rdf-syntax-ns#type
hasTransliteratedAddress,Address,rdf-schema#range
hasTransliteratedAddress,hasAddress,rdf-schema#subPropertyOf
N607e323263014bf0a2b9ba900c7b5164,owl#Restriction,22-rdf-syntax-ns#type
N2b0587b7838440cba094743b49ec096d,1,owl#qualifiedCardinality
N4eb80a2325ab430ea3320809a5e60e20,22-rdf-syntax-ns#nil,22-rdf-syntax-ns#rest
requiresSecondaryUnitRange,hasTextValue,rdf-schema#subPropertyOf
N49b292aeb99740fab454b6f1499afcfa,owl#Restriction,22-rdf-syntax-ns#type
N946c518edef347a7839f3ab6bb89ae25,owl#Restriction,22-rdf-syntax-ns#type
PostOfficeBox,N71f5fd5e8e234bacaa73e2b8093954dd,rdf-schema#subClassOf
Building,building,rdf-schema#label
StructureName,Name,rdf-schema#subClassOf
Side,"place, space, or direction with respect to a center or to a line of division",core#definition
PostOfficeBoxAddress,PhysicalAddress,rdf-schema#subClassOf
Rear,owl#NamedIndividual,22-rdf-syntax-ns#type
N2d676defecde4bcaa7d8b29f0a75484d,PhysicalAddressIdentifier,owl#onClass
Nb5c50247613f4748a9f6aede9d5ac2d0,owl#Restriction,22-rdf-syntax-ns#type
Upper,owl#NamedIndividual,22-rdf-syntax-ns#type
N94408d92d29d4b1b8fb3f79cac53bb5d,hasPrimaryAddressNumber,owl#onProperty
ConventionalStreetAddress,physical address that identifies a location on a street to which communications may be delivered,core#definition
N49b292aeb99740fab454b6f1499afcfa,StreetName,owl#someValuesFrom
Key,usually metal instrument by which the bolt of a lock is turned,core#definition
N00e739825ad545cca28a666cbe2407fa,1,owl#qualifiedCardinality
,owl#Ontology,22-rdf-syntax-ns#type
N4a6881a28bb94fddadacf00281b21e76,requiresSecondaryUnitRange,owl#onProperty
requiresSecondaryUnitRange,requires secondary unit range,rdf-schema#label
PhysicalAddress,owl#Class,22-rdf-syntax-ns#type
