source_id,target_id,relationship
GovernmentOfTheRepublicOfEcuador,"unitary presidential constitutional republic and representative democracy, whose president is both head of state and head of government",core#definition
GovernmentOfTheCo-operativeRepublicOfGuyana,"unitary presidential constitutional republic and representative democracy, whose president is both head of state and head of government",core#definition
,"Copyright (c) 2020-2023 Object Management Group, Inc.",copyright
,The initial version of this ontology reflects the highest national level only.,core#scopeNote
JurisdictionOfVenezuela,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheOrientalRepublicOfUruguay,NationalGovernment,22-rdf-syntax-ns#type
JurisdictionOfBolivia,owl#NamedIndividual,22-rdf-syntax-ns#type
VenezuelanEntity,Venezuelan entity,rdf-schema#label
EcuadorianEntity,"sovereign state and polity that is located in northwestern South America, bordered by Colombia on the north, Peru on the east and south, and the Pacific Ocean on the west",core#definition
BrazilianEntity,Brazilian entity,rdf-schema#label
GovernmentOfTheRepublicOfPeru,"unitary presidential constitutional republic and representative democracy, whose president is both head of state and head of government",core#definition
,"Copyright (c) 2020-2023 EDM Council, Inc.",copyright
GovernmentOfTheRepublicOfColombia,República de Colombia,rdf-schema#label
VenezuelanEntity,Venezuela,hasFullSovereigntyOver
JurisdictionOfVenezuela,"jurisdiction of the judiciary of Venezuela, which is the system of courts, including the Venezuelan Supreme Court, that interprets and applies the law in Venezuela",core#definition
JurisdictionOfChile,jurisdiction of Chile,rdf-schema#label
JurisdictionOfUruguay,GovernmentOfTheOrientalRepublicOfUruguay,isJurisdictionOf
GuyaneseEntity,SovereignState,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfColombia,Government of the Republic of Colombia,rdf-schema#label
VenezuelanEntity,"sovereign state and polity that is located on the northern coast of South America, consisting of a continental landmass and many small islands and islets in the Caribbean Sea",core#definition
EcuadorianEntity,SovereignState,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfPeru,NationalGovernment,22-rdf-syntax-ns#type
GovernmentOfTheBolivarianRepublicOfVenezuela,FederalGovernment,22-rdf-syntax-ns#type
VenezuelanEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfEcuador,jurisdiction of Ecuador,rdf-schema#label
JurisdictionOfBolivia,Jurisdiction,22-rdf-syntax-ns#type
GovernmentOfTheArgentineRepublic,República Argentina,rdf-schema#label
GovernmentOfTheRepublicOfSuriname,"unitary republic and representative democracy, whose president is both head of state and head of government",core#definition
JurisdictionOfColombia,Colombia,hasReach
GovernmentOfTheRepublicOfParaguay,NationalGovernment,22-rdf-syntax-ns#type
JurisdictionOfUruguay,jurisdiction of Uruguay,rdf-schema#label
GovernmentOfThePlurinationalStateOfBolivia,NationalGovernment,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfChile,"unitary presidential constitutional republic and representative democracy, whose president is both head of state and head of government",core#definition
JurisdictionOfSuriname,owl#NamedIndividual,22-rdf-syntax-ns#type
,"SouthAmericanGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",core#changeNote
GovernmentOfTheFederativeRepublicOfBrazil,FederalGovernment,22-rdf-syntax-ns#type
PeruvianEntity,GovernmentOfTheRepublicOfPeru,isRepresentedBy
JurisdictionOfColombia,GovernmentOfTheRepublicOfColombia,isJurisdictionOf
GovernmentOfTheFederativeRepublicOfBrazil,Government of the Federative Republic of Brazil,rdf-schema#label
GovernmentOfTheRepublicOfSuriname,Government of the Republic of Suriname,rdf-schema#label
,South American Government Entities and Jurisdictions Ontology,rdf-schema#label
JurisdictionOfArgentina,"jurisdiction of the judiciary of Argentina, which is the system of courts, including the Supreme Court and lower federal courts, that interprets and applies the law in Argentina",core#definition
UruguayanEntity,"sovereign state and polity that is located in the southeastern region of South America, bordered by Argentina to its west and southwest and Brazil to its north and east, with the Rio de la Plata (River of Silver) to the south and the Atlantic Ocean to the southeast",core#definition
JurisdictionOfBolivia,"jurisdiction of the judiciary of Bolivia, including the Supreme Court of Justice, the Plurinational Constitutional Court, the Judiciary Council, Agrarian and Environmental Court, and District (departmental) and lower courts that interpret and apply the law in Bolivia",core#definition
GovernmentOfTheArgentineRepublic,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfPeru,Government of the Republic of Peru,rdf-schema#label
JurisdictionOfParaguay,GovernmentOfTheRepublicOfParaguay,isJurisdictionOf
BolivianEntity,sovereign state and polity that is a landlocked country located in western-central South America,core#definition
,Release,hasMaturityLevel
GovernmentOfTheRepublicOfColombia,Colombia,governs
ArgentinianEntity,Argentinian entity,rdf-schema#label
JurisdictionOfGuyana,Guyana,hasReach
JurisdictionOfEcuador,GovernmentOfTheRepublicOfEcuador,isJurisdictionOf
PeruvianEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
,MIT,license
GovernmentOfTheOrientalRepublicOfUruguay,"unitary presidential constitutional republic and representative democracy, whose president is both head of state and head of government",core#definition
GovernmentOfTheCo-operativeRepublicOfGuyana,Guyana,governs
GovernmentOfThePlurinationalStateOfBolivia,Estado Plurinacional de Bolivia,rdf-schema#label
,SouthAmericanGovernmentEntitiesAndJurisdictions.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
JurisdictionOfSuriname,GovernmentOfTheRepublicOfSuriname,isJurisdictionOf
ChileanEntity,"sovereign state and polity that occupies a long, narrow strip of land between the Andes to the east and the Pacific Ocean to the west, and borders Peru to the north, Bolivia to the northeast, Argentina to the east, and the Drake Passage in the far south",core#definition
JurisdictionOfBrazil,jurisdiction of Brazil,rdf-schema#label
GovernmentOfTheRepublicOfEcuador,NationalGovernment,22-rdf-syntax-ns#type
JurisdictionOfVenezuela,jurisdiction of Venezuela,rdf-schema#label
ArgentinianEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfThePlurinationalStateOfBolivia,Unitary presidential constitutional republic and representative democracy whose president is both head of state and head of government,core#definition
GovernmentOfTheRepublicOfSuriname,Suriname,governs
GovernmentOfTheOrientalRepublicOfUruguay,Uruguay,governs
JurisdictionOfUruguay,Uruguay,hasReach
BrazilianEntity,federated sovereignty and polity that is the largest country in both South America and Latin America,core#definition
JurisdictionOfGuyana,GovernmentOfTheCo-operativeRepublicOfGuyana,isJurisdictionOf
GovernmentOfTheRepublicOfPeru,JurisdictionOfPeru,hasJurisdiction
GovernmentOfTheRepublicOfChile,Chile,governs
ColombianEntity,Colombia,hasFullSovereigntyOver
BrazilianEntity,FederatedSovereignty,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfColombia,NationalGovernment,22-rdf-syntax-ns#type
GuyaneseEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
PeruvianEntity,Peru,hasFullSovereigntyOver
ArgentinianEntity,GovernmentOfTheArgentineRepublic,isRepresentedBy
GovernmentOfTheOrientalRepublicOfUruguay,Government of the Oriental Republic of Uruguay,rdf-schema#label
EcuadorianEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfUruguay,Jurisdiction,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfParaguay,República del Paraguay,rdf-schema#label
JurisdictionOfPeru,"jurisdiction of the judiciary of Peru, which is the system of courts, including the Supreme Court of Peru, also known as the Royal Audencia of Lima, that interprets and applies the law in Peru",core#definition
JurisdictionOfVenezuela,Jurisdiction,22-rdf-syntax-ns#type
ColombianEntity,GovernmentOfTheRepublicOfColombia,isRepresentedBy
GovernmentOfTheRepublicOfEcuador,República del Ecuador,rdf-schema#label
JurisdictionOfParaguay,Paraguay,hasReach
GovernmentOfTheFederativeRepublicOfBrazil,JurisdictionOfBrazil,hasJurisdiction
JurisdictionOfArgentina,GovernmentOfTheArgentineRepublic,isJurisdictionOf
JurisdictionOfVenezuela,GovernmentOfTheBolivarianRepublicOfVenezuela,isJurisdictionOf
GovernmentOfTheBolivarianRepublicOfVenezuela,Venezuela,governs
GovernmentOfTheFederativeRepublicOfBrazil,owl#NamedIndividual,22-rdf-syntax-ns#type
ArgentinianEntity,FederatedSovereignty,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfEcuador,JurisdictionOfEcuador,hasJurisdiction
BrazilianEntity,Brazil,hasFullSovereigntyOver
ColombianEntity,SovereignState,22-rdf-syntax-ns#type
